seed,condition,pws_final_half,pws_slope,pws_mean,pws_std,pws_q1,pws_q2,pws_q3,pws_q4
68,control,0.7592808833347817,2.1276078281741396e-06,0.7574430526537864,0.03864094315546779,,,,
66,treatment,0.7869364963501803,-8.273950317143786e-06,0.7947296696515032,0.05004311353553307,0.8091814642211165,0.8753294329668746,0.9540737980709636,0.9175209065578489
67,treatment,0.7877788297144956,3.0264575044169885e-05,0.7893197952925932,0.053139654568158466,0.8157680899559987,0.873545534069171,0.9519718173764949,0.9114718210840291
69,control,0.7585840479670791,3.8768495281860304e-06,0.7570705040190614,0.03810328509169186,,,,
70,control,0.7580370590639937,1.2563390341508793e-06,0.7566408140326376,0.038280135320614375,,,,
68,treatment,0.7771293510445176,-7.103089537012235e-05,0.7905369149077298,0.052404825374267876,0.812762895479225,0.8765624647353375,0.9478948274099966,0.9066661390022297
71,control,0.7590538131433839,7.792444919471675e-06,0.7575795579153901,0.038067318331273976,,,,
69,treatment,0.7908865234976962,3.139321083889352e-05,0.7940303792923804,0.05188910610353708,0.8192002704851747,0.8770955638327669,0.9478642996287383,0.9074565308357286
72,control,0.7587222123245695,-5.57628986639141e-06,0.7581418011821641,0.03874622963765393,,,,
70,treatment,0.790258129951839,0.00010172301997163798,0.7880100172565943,0.051528725219558605,0.7943465136044555,0.8623187316117061,0.9541485248303866,0.9181430721768042
73,control,0.7597233232335577,7.035777489529601e-06,0.7582017788048556,0.03831408915441594,,,,
71,treatment,0.7940782990479487,3.4668679457787316e-05,0.7956295700538826,0.05209481159726826,0.8081629323969705,0.8705148953642297,0.9577738821144925,0.9241303419016672
72,treatment,0.7860543895064852,-1.2231242758493e-05,0.7965851354859209,0.05102320418663519,0.8012788980797687,0.8645868262282979,0.9520663280723322,0.915565268456127
74,control,0.7587266476476191,-8.492532897128176e-06,0.7573833844915913,0.03851997640611867,,,,
73,treatment,0.7764239207552228,-3.6262416244630167e-05,0.7863398883049758,0.04903503398549811,0.8101140590381773,0.8808544002275266,0.9506702122688723,0.9109545048987141
75,control,0.7594909600206302,6.049247526861051e-06,0.757328880715374,0.03796708681448033,,,,
74,treatment,0.7910509476580507,8.37053828660958e-07,0.7979984114944093,0.050920560130605017,0.8171010107926929,0.8808031937470069,0.950711390074786,0.9129498839895375
76,control,0.7572687035657649,-6.541162630513477e-06,0.7565568313900262,0.03901810395981806,,,,
75,treatment,0.7938288611401311,4.820037800657816e-05,0.7943823975814149,0.05168215267281776,0.8115632105701559,0.8699569270483273,0.9521062849847883,0.917110750652619
77,control,0.7608319907821527,-7.085840810615289e-07,0.7587754103082007,0.03837114482568479,,,,
76,treatment,0.7862662988841812,-4.037573133967757e-05,0.795273149211286,0.0488775650357039,0.7972028871584422,0.8685428785303589,0.954099777539585,0.9172959537840983
78,control,0.7570456036963593,-5.87730368110456e-06,0.7567661336064446,0.03797639602177458,,,,
79,control,0.7581341370583954,-9.750763079594145e-06,0.756879224598093,0.038462987252232884,,,,
77,treatment,0.772418467051798,-5.768416435155303e-05,0.788162093436684,0.05173328195196012,0.8188473872004705,0.8846978386884523,0.9435751817576756,0.898204562811798
80,control,0.7596754198291611,2.361169847755224e-06,0.7571408218934117,0.038409310289297956,,,,
78,treatment,0.7870396490407202,-1.6062304719167833e-05,0.7943409610198737,0.04918533267647229,0.807224344818237,0.8756401497383401,0.9491764040642402,0.9110697838879697
81,control,0.7616110860512578,1.4208450954670204e-05,0.7589482203115261,0.03826969417986271,,,,
79,treatment,0.7776804602381846,-6.233447144906898e-05,0.7906032322078512,0.05301666743326465,0.8105865017585987,0.881570166753284,0.9455169006019462,0.9039077388235838
82,control,0.7582522967841578,2.9600145352315758e-06,0.7569381763096636,0.0384443602646729,,,,
80,treatment,0.7811506211023784,3.818205125796163e-05,0.7896080223218814,0.05071238851355948,0.8208847403721756,0.8774993090094335,0.9455961852559658,0.9034248091315046
81,treatment,0.7971604673827558,0.00011610097814202373,0.7897752322290009,0.05302669339729757,0.8119890632085094,0.8702720501298816,0.9556213452919843,0.9196896306333701
83,control,0.7586277553843453,-7.235143630238993e-07,0.7567181579907627,0.03846540048046995,,,,
82,treatment,0.7874274637184724,5.73881465175316e-05,0.7881228628900628,0.05092316383968221,0.8208938310951548,0.87975967304295,0.9483284571845331,0.9076859000568874
84,control,0.75921251240898,-2.942683172332069e-06,0.7577280156960621,0.03771668724884903,,,,
83,treatment,0.7683917787873521,-0.00011543137451066154,0.7812489808587859,0.051461652471036345,0.8088852180400612,0.8796552763106443,0.9425347743969653,0.8989222331051064
85,control,0.7599609519039185,-6.129381243322835e-07,0.7585665733682582,0.0380067990532415,,,,
